,Date,Open,Close,Change (%)
482,2017-04-05,5.5,5.25,-1.87%
483,2017-04-04,5.4,5.35,-0.93%
484,2017-04-03,5.3,5.4,-1.46%
485,2017-03-31,5.5,5.48,+3.40%
486,2017-03-30,5.3,5.3,+0.00%
487,2017-03-29,5.61,5.3,-5.02%
488,2017-03-28,5.38,5.58,+5.28%
489,2017-03-27,5.38,5.3,-1.49%
490,2017-03-24,5.38,5.38,+0.19%
491,2017-03-23,5.37,5.37,+0.37%
492,2017-03-22,5.35,5.35,+0.00%
493,2017-03-21,5.33,5.35,+0.00%
494,2017-03-20,5.33,5.35,+0.00%
495,2017-03-17,5.35,5.35,+0.00%
496,2017-03-16,5.34,5.35,+0.00%
497,2017-03-15,5.4,5.35,-0.19%
498,2017-03-14,5.36,5.36,-0.74%
499,2017-03-13,5.4,5.4,+1.31%
500,2017-03-10,5.33,5.33,+0.00%
501,2017-03-09,5.35,5.33,+0.57%
502,2017-03-08,5.3,5.3,+0.00%
503,2017-03-07,5.31,5.3,-3.99%
504,2017-03-06,5.4,5.52,+0.00%
505,2017-03-03,5.52,5.52,+0.36%
506,2017-03-02,5.32,5.5,+3.58%
507,2017-03-01,5.65,5.31,-3.45%
508,2017-02-28,5.6,5.5,-1.79%
509,2017-02-27,5.65,5.6,-1.58%
510,2017-02-24,5.65,5.69,+0.71%
511,2017-02-23,5.6,5.65,+1.25%
512,2017-02-22,5.5,5.58,+1.45%
513,2017-02-21,5.35,5.5,+3.38%
514,2017-02-20,5.13,5.32,+1.92%
515,2017-02-17,5.26,5.22,+1.56%
516,2017-02-16,5.12,5.14,-3.02%
517,2017-02-15,5.39,5.3,-1.67%
518,2017-02-14,5.4,5.39,-0.19%
519,2017-02-13,5.34,5.4,+1.31%
520,2017-02-10,5.35,5.33,+0.00%
521,2017-02-10,5.35,5.33,+0.00%
522,2017-02-09,5.35,5.33,+0.19%
523,2017-02-08,5.35,5.32,-0.56%
524,2017-02-07,5.34,5.35,+1.71%
525,2017-02-06,5.35,5.26,-1.5%
