,Date,Open,Close,Change (%)
223,2018-03-28,12.32,12.16,-0.82%
224,2018-03-27,12.4,12.26,-0.33%
225,2018-03-26,12.8,12.3,-5.24%
226,2018-03-23,13.0,12.98,-2.41%
227,2018-03-22,12.78,13.3,+5.56%
228,2018-03-21,13.0,12.6,-3.08%
229,2018-03-20,13.4,13.0,-4.83%
230,2018-03-19,13.5,13.66,-0.15%
231,2018-03-16,13.58,13.68,+1.33%
232,2018-03-15,13.5,13.5,-0.74%
233,2018-03-14,13.5,13.6,+0.89%
234,2018-03-13,13.5,13.48,+0.75%
235,2018-03-12,13.32,13.38,+1.21%
236,2018-03-09,13.3,13.22,-0.45%
237,2018-03-08,13.08,13.28,+1.37%
238,2018-03-07,13.36,13.1,-0.76%
239,2018-03-06,13.4,13.2,+0.00%
240,2018-03-05,13.4,13.2,-0.3%
241,2018-03-02,13.72,13.24,-3.5%
242,2018-03-01,13.92,13.72,-1.44%
243,2018-02-28,13.98,13.92,-0.85%
244,2018-02-27,13.6,14.04,+3.69%
245,2018-02-26,13.6,13.54,-0.44%
246,2018-02-23,13.72,13.6,-0.87%
247,2018-02-22,13.9,13.72,-0.72%
248,2018-02-21,13.74,13.82,+0.58%
249,2018-02-20,13.9,13.74,-1.29%
250,2018-02-19,14.0,13.92,+0.87%
251,2018-02-16,13.96,13.8,+0.00%
252,2018-02-15,13.96,13.8,-1.43%
253,2018-02-14,13.52,14.0,+2.19%
254,2018-02-13,13.58,13.7,+2.24%
255,2018-02-12,13.74,13.4,-2.9%
256,2018-02-09,14.2,13.8,-2.82%
257,2018-02-08,14.32,14.2,-0.7%
258,2018-02-07,14.0,14.3,+3.77%
259,2018-02-07,14.0,14.3,+3.77%
260,2018-02-06,13.8,13.78,-0.43%
261,2018-02-05,14.14,13.84,-4.95%
262,2018-02-02,14.56,14.56,+0.69%
263,2018-02-01,14.56,14.46,+0.42%
264,2018-01-31,14.3,14.4,+0.70%
265,2018-01-30,14.46,14.3,-1.11%
266,2018-01-29,14.48,14.46,-0.28%
267,2018-01-26,14.58,14.5,-1.09%
268,2018-01-25,14.54,14.66,+0.96%
269,2018-01-24,14.84,14.52,-2.16%
270,2018-01-23,15.0,14.84,-0.4%
271,2018-01-22,14.64,14.9,+1.78%
272,2018-01-19,14.94,14.64,-1.08%
273,2018-01-18,14.7,14.8,-0.67%
274,2018-01-17,14.82,14.9,+0.54%
275,2018-01-16,15.06,14.82,-0.8%
276,2018-01-15,14.6,14.94,+2.33%
277,2018-01-12,14.5,14.6,-0.27%
278,2018-01-11,14.98,14.64,-2.27%
279,2018-01-10,15.0,14.98,+0.54%
280,2018-01-09,14.6,14.9,+2.76%
281,2018-01-08,14.88,14.5,-1.49%
282,2018-01-05,14.44,14.72,+1.94%
283,2018-01-04,14.16,14.44,+2.12%
